[2025-12-01T02:47:06.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 3
[2025-12-01T02:47:09.227+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987431 não encontrada. Pulando.
[2025-12-01T02:47:09.227+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987432 não encontrada. Pulando.
[2025-12-01T02:47:09.228+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987433 não encontrada. Pulando.
[2025-12-01T02:47:09.228+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987434 não encontrada. Pulando.
[2025-12-01T02:47:09.228+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987435 não encontrada. Pulando.
[2025-12-01T02:47:09.228+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987436 não encontrada. Pulando.
[2025-12-01T02:47:09.229+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987437 não encontrada. Pulando.
[2025-12-01T02:47:09.229+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987438 não encontrada. Pulando.
[2025-12-01T02:47:09.229+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987439 não encontrada. Pulando.
[2025-12-01T02:47:09.230+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987440 não encontrada. Pulando.
[2025-12-01T02:47:09.230+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987441 não encontrada. Pulando.
[2025-12-01T02:47:09.231+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987442 não encontrada. Pulando.
[2025-12-01T02:47:09.231+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987443 não encontrada. Pulando.
[2025-12-01T02:47:09.231+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987444 não encontrada. Pulando.
[2025-12-01T02:47:09.231+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987445 não encontrada. Pulando.
[2025-12-01T02:47:09.232+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987446 não encontrada. Pulando.
[2025-12-01T02:47:09.232+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987447 não encontrada. Pulando.
[2025-12-01T02:47:09.232+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987448 não encontrada. Pulando.
[2025-12-01T02:47:09.233+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987449 não encontrada. Pulando.
[2025-12-01T02:47:09.233+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987450 não encontrada. Pulando.
[2025-12-01T02:47:09.233+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987451 não encontrada. Pulando.
[2025-12-01T02:47:09.234+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987452 não encontrada. Pulando.
